Date;Magnitude (group);Magnitude (group) 1;Place;Type;Year;Depth;F1;Latitude;Longitude;Magnitude
22.01.1997;Moderate;Moderate;Hatay;mb;1997;61,3;152;36,177;35,897;5,2
22.01.1997;Moderate;Moderate;Hatay;mb;1997;49,4;153;36,167;35,884;5
22.01.1997;Moderate;Moderate;Hatay;Mw;1997;20,9;154;36,207;35,957;5,7
14.08.1996;Moderate;Moderate;Corum;mb;1996;16,4;155;40,345;35,202;5,1
14.08.1996;Moderate;Moderate;Corum;Mw;1996;25,7;156;40,698;35,29;5,7
14.08.1996;Moderate;Moderate;Amasya;Mw;1996;16,4;157;40,76;35,328;5,6
5.12.1995;Moderate;Moderate;Tunceli;mb;1995;73,8;158;39,474;40,152;5,2
29.01.1995;Moderate;Moderate;Erzurum;Mw;1995;49,6;159;39,762;40,648;5,2
1.10.1995;Moderate;Moderate;Balikesir;mb;1995;36,6;160;38,084;30,163;5
1.10.1995;Strong;Strong;Erzurum;Mw;1995;30,9;161;38,075;30,142;6,4
5.12.1995;Moderate;Moderate;Tunceli;Mw;1995;13,9;162;39,475;40,146;5,8
28.01.1994;Moderate;Moderate;Manisa;Mw;1994;16,5;163;38,682;27,529;5,4
13.11.1994;Moderate;Moderate;Mugla;Mw;1994;20;164;36,955;29,053;5,3
17.09.1994;Moderate;Moderate;Batman;mb;1994;35;165;37,843;41,576;5
24.05.1994;Moderate;Moderate;Izmir;mb;1994;9,1;166;38,737;26,478;5
24.05.1994;Moderate;Moderate;Izmir;Mw;1994;17,5;167;38,734;26,553;5,5
3.01.1994;Moderate;Moderate;Adana;mb;1994;42,5;168;36,993;35,83;5
24.05.1994;Moderate;Moderate;Izmir;mb;1994;17,3;169;38,739;26,575;5,2
26.08.1993;Moderate;Moderate;Mugla;mb;1993;37;170;36,724;28,062;5,2
7.05.1992;Moderate;Moderate;Elazig;Mw;1992;17,4;171;38,717;40,127;5,1
6.11.1992;Strong;Strong;Izmir;Mw;1992;9,8;172;38,048;27,004;6
13.03.1992;Strong;Strong;Erzincan;Mw;1992;22,2;173;39,72;39,632;6,6
15.03.1992;Moderate;Moderate;Tunceli;Mw;1992;7;174;39,519;39,962;5,9
11.03.1991;Moderate;Moderate;Antalya;Mw;1991;112,1;175;37,032;30,966;5,1
15.01.1991;Moderate;Moderate;Burdur;mb;1991;1;176;37,1211;29,4809;5,3
5.12.1991;Moderate;Moderate;Balikesir;Mw;1991;106,7;177;36,162;31,792;5,2
10.04.1991;Moderate;Moderate;Osmaniye;Mw;1991;42,3;178;37,299;36,116;5,3
6.10.1991;Moderate;Moderate;Ardahan;Mw;1991;15;179;41,083;43,432;5,1
3.06.1991;Moderate;Moderate;Kars;Mw;1991;35;180;40,077;42,842;5,1
20.04.1990;Moderate;Moderate;Erzincan;Mw;1990;39,9;181;39,996;40,047;5,4
21.11.1990;Moderate;Moderate;Burdur;mb;1990;19;182;37,0267;29,6006;5
18.07.1990;Moderate;Moderate;Burdur;Mw;1990;40,4;183;37,026;29,531;5,5
20.05.1989;Moderate;Moderate;Erzincan;Mw;1989;39,3;184;39,616;40,185;5,4
19.02.1989;Moderate;Moderate;Mugla;Mw;1989;23,3;185;37,007;28,163;5,4
24.02.1989;Moderate;Moderate;Denizli;Mw;1989;14,4;186;37,709;29,314;5,3
24.06.1989;Moderate;Moderate;Adana;Mw;1989;46,4;187;36,745;35,944;5,1
28.04.1989;Moderate;Moderate;Mugla;Mw;1989;20,8;188;36,995;28,101;5,5
27.04.1989;Moderate;Moderate;Mugla;Mw;1989;18,7;189;37,016;28,153;5,5
25.06.1988;Moderate;Moderate;Van;Mw;1988;15;190;38,451;43,084;5,5
20.04.1988;Moderate;Moderate;Van;Mw;1988;15;191;39,066;44,115;5,5
24.04.1988;Moderate;Moderate;Istanbul;Mw;1988;15;192;40,892;28,317;5,3
19.06.1987;Moderate;Moderate;Mugla;Mw;1987;76,1;193;36,777;28,159;5,3
22.02.1987;Moderate;Moderate;Diyarbakir;mb;1987;38,5;194;38,416;40,495;5
3.09.1987;Moderate;Moderate;Balikesir;mb;1987;57,6;195;35,95;30,617;5
11.10.1986;Moderate;Moderate;Aydin;Mw;1986;12,6;196;37,941;28,557;5,6
6.06.1986;Moderate;Moderate;Malatya;Mw;1986;21,9;197;38,005;37,912;5,8
5.05.1986;Strong;Strong;Malatya;Mw;1986;4,1;198;38,001;37,783;6
3.08.1986;Moderate;Moderate;Gaziantep;mb;1986;48,8;199;37,169;37,161;5
10.04.1985;Moderate;Moderate;Mugla;mb;1985;20;200;36,8024;27,5379;5
7.11.1985;Moderate;Moderate;Kars;Mw;1985;35;201;40,374;42,334;5,2
18.10.1984;Moderate;Moderate;Erzurum;Mw;1984;35;202;40,71;42,448;5,4
18.09.1984;Moderate;Moderate;Erzurum;Mw;1984;10;203;40,885;42,238;5,5
29.07.1984;Moderate;Moderate;Balikesir;mb;1984;12,1;204;40,418;26,001;5
5.02.1984;Moderate;Moderate;Mugla;mb;1984;32,5;205;37,234;28,678;5
5.07.1983;Strong;Strong;Canakkale;Mw;1983;10;206;40,311;27,256;6,1
21.10.1983;Moderate;Moderate;Bursa;Mw;1983;4,7;207;40,108;29,402;5,4
6.04.1983;Moderate;Moderate;Erzincan;mb;1983;44,3;208;39,877;40,417;5
30.10.1983;Strong;Strong;Kars;Mw;1983;15;209;40,331;42,173;6,6
30.10.1983;Moderate;Moderate;Erzurum;Mw;1983;7,6;210;40,366;42,197;5,5
30.10.1983;Moderate;Moderate;Erzurum;mb;1983;3;211;40,3593;42,0106;5
18.11.1983;Moderate;Moderate;Erzincan;Mw;1983;17,9;212;39,753;39,468;5,4
27.03.1982;Moderate;Moderate;Erzurum;mb;1982;35;213;39,218;41,877;5,4
26.04.1981;Moderate;Moderate;Balikesir;Mw;1981;72,8;214;36,547;30,685;5,6
20.01.1981;Moderate;Moderate;Adiyaman;mb;1981;12,8;215;38,06;38,571;5
4.10.1980;Moderate;Moderate;Mugla;MS;1980;26;216;37;28,8;5,1
18.10.1980;Moderate;Moderate;Erzincan;MS;1980;37;217;39,91;40,31;5,3
2.08.1980;Moderate;Moderate;Izmir;mb;1980;10;218;38,93;27,42;5,3
11.07.1980;Moderate;Moderate;Diyarbakir;mb;1980;56,3;219;38,536;40,84;5,1
14.06.1979;Moderate;Moderate;Izmir;Mw;1979;14,8;220;38,794;26,607;5,8
23.08.1979;Moderate;Moderate;Balikesir;mb;1979;10;221;39,6877;28,5734;5
28.12.1979;Moderate;Moderate;Adana;Mw;1979;44;222;37,493;35,845;5,4
28.05.1979;Moderate;Moderate;Balikesir;Mw;1979;111;223;36,46;31,72;5,9
19.01.1979;Moderate;Moderate;Gumushane;MS;1979;11;224;39,91;39,6;5
11.04.1979;Moderate;Moderate;Van;MS;1979;44;225;39,12;43,91;5
22.08.1979;Moderate;Moderate;Balikesir;Mw;1979;81,4;226;35,909;27,416;5,3
18.07.1979;Moderate;Moderate;Balikesir;Mw;1979;4,4;227;39,649;28,697;5,3
12.09.1979;Moderate;Moderate;Elazig;MS;1979;35;228;38,41;39,8;5
31.12.1979;Moderate;Moderate;Balikesir;Mw;1979;93;229;36,22;31,49;5,7
16.06.1979;Moderate;Moderate;Izmir;Mw;1979;15,7;230;38,694;26,684;5,3
11.01.1978;Moderate;Moderate;Denizli;MS;1978;5;231;37,48;28,86;5
24.02.1977;Moderate;Moderate;Manisa;mb;1977;20;232;38,55;27,66;5
2.01.1977;Moderate;Moderate;Agri;MS;1977;46;233;39,29;43,62;5
16.12.1977;Moderate;Moderate;Izmir;mb;1977;21,2;234;38,368;27,211;5,3
3.11.1977;Moderate;Moderate;Agri;MS;1977;38;235;39,31;43,53;5
25.03.1977;Moderate;Moderate;Elazig;Mw;1977;17,2;236;38,645;40,064;5,2
1.06.1977;Moderate;Moderate;Balikesir;Mw;1977;66,5;237;36,217;31,332;5,6
5.10.1977;Moderate;Moderate;Cankiri;Mw;1977;16,1;238;40,992;33,568;5,8
17.01.1977;Moderate;Moderate;Agri;MS;1977;15,8;239;39,226;43,649;5,3
24.11.1976;Major;Major;Van;Mw;1976;8,6;240;39,08;44,029;7
29.04.1976;Moderate;Moderate;Ardahan;MS;1976;35;241;40,926;42,869;5
24.11.1976;Moderate;Moderate;Van;mb;1976;10;242;39,12;44;5,1
5.09.1976;Moderate;Moderate;Diyarbakir;MS;1976;18,9;243;38,46;40,944;5
12.11.1976;Moderate;Moderate;Izmir;MS;1976;6;244;38,47;26,71;5
19.08.1976;Moderate;Moderate;Denizli;MS;1976;14,2;245;37,735;29,014;5,1
15.08.1976;Moderate;Moderate;Denizli;mb;1976;11;246;37,842;28,7708;5,3
24.11.1976;Moderate;Moderate;Van;MS;1976;49;247;39,09;43,71;5
24.11.1976;Moderate;Moderate;Van;MS;1976;46;248;39,18;43,71;5
24.11.1976;Moderate;Moderate;Van;mb;1976;10;249;38,977;44,154;5
24.11.1976;Moderate;Moderate;Van;MS;1976;55;250;39,08;44,13;5
4.12.1976;Moderate;Moderate;Agri;MS;1976;53;251;39,31;43,66;5
12.01.1976;Moderate;Moderate;Van;MS;1976;56;252;38,61;43,2;5
25.03.1976;Moderate;Moderate;Ardahan;MS;1976;25;253;41,01;42,97;5,1
6.09.1975;Strong;Strong;Diyarbakir;MS;1975;31,9;254;38,5132;40,7741;6,6
27.03.1975;Moderate;Moderate;Edirne;mb;1975;3,3;255;40,422;26,147;5,5
17.03.1975;Moderate;Moderate;Edirne;MS;1975;2;256;40,475;26,118;5,9
30.04.1975;Moderate;Moderate;Balikesir;MS;1975;62,2;257;36,266;30,769;5
6.09.1975;Moderate;Moderate;Diyarbakir;MS;1975;50;258;38,444;40,84;5
1.02.1974;Moderate;Moderate;Izmir;mb;1974;11,3;259;38,548;27,283;5,2
14.03.1972;Moderate;Moderate;Kutahya;MS;1972;41,4;260;39,325;29,497;5,5
26.04.1972;Moderate;Moderate;Canakkale;MS;1972;11;261;39,451;26,383;5
12.05.1971;Moderate;Moderate;Burdur;mb;1971;29,8;262;37,526;29,749;5,3
9.09.1971;Moderate;Moderate;Antalya;mb;1971;52;263;37,301;30,206;5,2
22.05.1971;Strong;Strong;Bingol;MS;1971;3;264;38,85;40,52;6,8
23.02.1971;Moderate;Moderate;Balikesir;MS;1971;10,4;265;39,623;27,343;5,4
29.06.1971;Moderate;Moderate;Gaziantep;MS;1971;40,8;266;37,133;36,856;5,5
25.05.1971;Moderate;Moderate;Kutahya;MS;1971;11,8;267;39,026;29,73;5,5
12.05.1971;Moderate;Moderate;Burdur;MS;1971;11,1;268;37,524;29,668;5,2
6.11.1971;Moderate;Moderate;Kutahya;mb;1971;30,9;269;39,046;29,744;5
11.07.1971;Moderate;Moderate;Gaziantep;MS;1971;7,1;270;37,16;36,832;5,8
12.05.1971;Moderate;Moderate;Burdur;MS;1971;26,8;271;37,56;29,747;5,9
30.12.1970;Moderate;Moderate;Mugla;mb;1970;23;272;36,96;28,94;5,1
26.01.1970;Moderate;Moderate;Mugla;mb;1970;10;273;37;28,5;5,1
28.03.1970;Moderate;Moderate;Kutahya;MS;1970;31;274;39,15;29,56;5,2
28.03.1970;Moderate;Moderate;Usak;MS;1970;33;275;38,9;29,7;5,1
23.04.1970;Moderate;Moderate;Kutahya;MS;1970;35;276;39,124;28,671;5,3
14.05.1970;Moderate;Moderate;Kutahya;mb;1970;38;277;39,02;29,1;5,1
28.03.1970;Moderate;Moderate;Kutahya;MS;1970;30,7;278;39,047;29,759;5,1
28.03.1970;Major;Major;Kutahya;MS;1970;18;279;39,21;29,51;7,2
20.03.1970;Moderate;Moderate;Mersin;mb;1970;33;280;36,9;33,5;5,5
19.04.1970;Moderate;Moderate;Kutahya;MS;1970;17,6;281;38,986;29,829;5,5
3.09.1970;Moderate;Moderate;Erzincan;MS;1970;9,3;282;39,575;38,809;5,3
7.04.1970;Moderate;Moderate;Kutahya;MS;1970;35,2;283;39,344;29,266;5,1
6.04.1970;Moderate;Moderate;Balikesir;mb;1970;33;284;39,19;28,54;5,1
2.04.1970;Moderate;Moderate;Usak;mb;1970;41;285;38,9;29,6;5,1
19.04.1970;Moderate;Moderate;Kutahya;MS;1970;14,8;286;38,982;29,767;5,6
11.11.1970;Moderate;Moderate;Balikesir;MS;1970;35;287;35,99;28,24;5,1
24.04.1970;Moderate;Moderate;Kutahya;mb;1970;44;288;39,01;29,7;5,3
29.03.1970;Moderate;Moderate;Kutahya;MS;1970;39,6;289;39,047;29,738;5,1
16.04.1970;Moderate;Moderate;Kutahya;MS;1970;36,1;290;38,998;29,911;5,2
28.03.1970;Moderate;Moderate;Kutahya;MS;1970;33;291;39,5;30,3;5,3
19.04.1970;Moderate;Moderate;Balikesir;MS;1970;33;292;39,6;30,7;5,3
31.03.1970;Moderate;Moderate;Kutahya;mb;1970;43;293;39,12;29,16;5
30.03.1970;Moderate;Moderate;Kutahya;MS;1970;7,8;294;39,298;29,268;5
12.05.1970;Moderate;Moderate;Usak;mb;1970;33;295;38,6;29,3;5
19.04.1970;Moderate;Moderate;Balikesir;MS;1970;33;296;40;30,9;5
30.04.1969;Moderate;Moderate;Balikesir;MS;1969;14,5;297;39,14;28,547;5,2
23.03.1969;Moderate;Moderate;Aydin;MS;1969;33;298;37,9;27,6;5
